Shipment#,IndexDate,Month,Year,Date(Period),CarrierRef,EnglishOrigin,EnglishDestination,Route,GCD,CO2,CO2Metric,Density,CDCTrafficRating,CDCDensityRating,CDCEfficiencyRating,RDCTrafficRating,RDCDensityRating,RDCEfficiencyRating,RouteTrafficRating,RouteDensityRating,RouteEfficiencyRating
112,04-20-2013,4,2013,Apr-13,Carrier06,Shanghai CDC,Shijiazhuang RDC,"Shanghai CDC , Shijiazhuang RDC",1002.8,224.585447,0.209985114,177.9352686,5,4,3,2,2,5,2,2,4
113,04-20-2013,4,2013,Apr-13,Carrier06,Beijing CDC,Tianjin RDC,"Beijing CDC , Tianjin RDC",137.3,1.135613884,0.341496312,113.1775701,3,3,5,2,2,5,3,1,4
114,04-21-2013,4,2013,Apr-13,Carrier11,Beijing CDC,Zhengzhou RDC,"Beijing CDC , Zhengzhou RDC",627.4,72.60715689,0.309645901,118.1226296,3,3,5,2,2,5,3,1,4
115,04-21-2013,4,2013,Apr-13,Carrier08,Beijing CDC,Changchun RDC,"Beijing CDC , Changchun RDC",865.3,309.6949991,0.297633906,122.7416556,3,3,5,4,4,5,2,1,4
116,04-22-2013,4,2013,Apr-13,Carrier11,Beijing CDC,Zhengzhou RDC,"Beijing CDC , Zhengzhou RDC",627.4,642.6086271,0.272941837,134.1842595,3,3,5,2,2,5,3,1,4
117,04-22-2013,4,2013,Apr-13,Carrier08,Huiyang CDC,Beijing RDC,"Huiyang CDC , Beijing RDC",1915.8,595.7617293,0.234590593,149.228639,4,1,2,4,4,5,3,1,4
118,04-22-2013,4,2013,Apr-13,Carrier09,Huiyang CDC,Guangzhou RDC,"Huiyang CDC , Guangzhou RDC",99.9,127.950782,0.367293657,129.4874489,4,1,2,4,4,5,5,1,3
119,04-22-2013,4,2013,Apr-13,Carrier08,Shenzhen CDC,Hangzhou RDC,"Shenzhen CDC , Hangzhou RDC",1056.6,0.206351792,0.180831416,216,2,3,4,4,3,3,1,2,4
120,04-22-2013,4,2013,Apr-13,Carrier08,Shenzhen CDC,Guangzhou RDC,"Shenzhen CDC , Guangzhou RDC",52.1,12.61256616,0.328569998,154.4288409,2,3,4,4,4,5,2,2,4
121,04-23-2013,4,2013,Apr-13,Carrier08,Shanghai CDC,Shenyang RDC,"Shanghai CDC , Shenyang RDC",1203.6,537.9726038,0.280049118,164.4893332,5,4,3,2,2,5,3,2,4
122,04-23-2013,4,2013,Apr-13,Carrier02,Shanghai CDC,Lanzhou RDC,"Shanghai CDC , Lanzhou RDC",1711.9,192.0620393,0.041887815,246.0181868,5,4,3,4,3,3,2,2,5
123,04-23-2013,4,2013,Apr-13,Carrier07,Huiyang CDC,Chengdu RDC,"Huiyang CDC , Chengdu RDC",1348,1112.252318,0.419759786,105.3474999,4,1,2,4,4,5,2,1,4
124,04-23-2013,4,2013,Apr-13,Carrier06,Shanghai CDC,Nanjing RDC,"Shanghai CDC , Nanjing RDC",278.7,0.367923819,0.22375303,168.5714286,5,4,3,2,2,2,5,1,4
125,04-23-2013,4,2013,Apr-13,Carrier08,Beijing CDC,Wuhan RDC,"Beijing CDC , Wuhan RDC",1079.3,79.94497947,0.141581395,244.8151614,3,3,5,2,2,5,2,1,5
126,04-23-2013,4,2013,Apr-13,Carrier08,Beijing CDC,Shenyang RDC,"Beijing CDC , Shenyang RDC",641.3,183.6137383,0.275355731,129.1837495,3,3,5,2,2,5,3,1,4
127,04-23-2013,4,2013,Apr-13,Carrier08,Chengdu CDC,Guangzhou RDC,"Chengdu CDC , Guangzhou RDC",1278.8,920.3884581,0.159535803,275.4206349,2,3,3,4,4,5,2,3,5
